task_id,exam_type,exam_date,task_no,cluster_id,cluster_label
MI|2014-04-23|2,MI,2014-04-23,2,9,Pretraga u nizu
MI|2014-04-23|3,MI,2014-04-23,3,9,Pretraga u nizu
MI|2014-04-23|4,MI,2014-04-23,4,0,Stog operacije
MI|2014-04-23|5,MI,2014-04-23,5,4,Uzlazno sortiranje
MI|2015-04-21|1,MI,2015-04-21,1,1,Binarno stablo
MI|2015-04-21|2,MI,2015-04-21,2,9,Pretraga u nizu
MI|2015-04-21|3,MI,2015-04-21,3,9,Pretraga u nizu
MI|2015-04-21|4,MI,2015-04-21,4,9,Pretraga u nizu
MI|2015-04-21|5,MI,2015-04-21,5,5,Red i stog
MI|2016-04-26|1,MI,2016-04-26,1,9,Pretraga u nizu
MI|2016-04-26|2,MI,2016-04-26,2,6,Hash tablice
MI|2016-04-26|3,MI,2016-04-26,3,0,Stog operacije
MI|2016-04-26|4,MI,2016-04-26,4,4,Uzlazno sortiranje
MI|2016-04-26|5,MI,2016-04-26,5,0,Stog operacije
MI|2017-04-19|1,MI,2017-04-19,1,9,Pretraga u nizu
MI|2017-04-19|2,MI,2017-04-19,2,6,Hash tablice
MI|2017-04-19|3,MI,2017-04-19,3,4,Uzlazno sortiranje
MI|2017-04-19|4,MI,2017-04-19,4,5,Red i stog
MI|2019-11-25|1,MI,2019-11-25,1,3,Rekurzija
MI|2019-11-25|2,MI,2019-11-25,2,6,Hash tablice
MI|2019-11-25|3,MI,2019-11-25,3,2,Linearne liste
MI|2019-11-25|4,MI,2019-11-25,4,8,Dinamička alokacija
MI|2019-11-25|5,MI,2019-11-25,5,5,Red i stog
MI|2020-11-24|1,MI,2020-11-24,1,9,Pretraga u nizu
MI|2020-11-24|2,MI,2020-11-24,2,8,Dinamička alokacija
MI|2020-11-24|3,MI,2020-11-24,3,2,Linearne liste
MI|2020-11-24|4,MI,2020-11-24,4,6,Hash tablice
MI|2020-11-24|5,MI,2020-11-24,5,5,Red i stog
MI|2021-11-28|1,MI,2021-11-28,1,9,Pretraga u nizu
MI|2021-11-28|2,MI,2021-11-28,2,6,Hash tablice
MI|2021-11-28|3,MI,2021-11-28,3,2,Linearne liste
MI|2021-11-28|4,MI,2021-11-28,4,9,Pretraga u nizu
MI|2021-11-29|1,MI,2021-11-29,1,4,Uzlazno sortiranje
MI|2021-11-29|2,MI,2021-11-29,2,9,Pretraga u nizu
MI|2021-11-29|3,MI,2021-11-29,3,6,Hash tablice
MI|2021-11-29|4,MI,2021-11-29,4,9,Pretraga u nizu
MI|2021-11-29|5,MI,2021-11-29,5,2,Linearne liste
MI|2023-11-27|1,MI,2023-11-27,1,9,Pretraga u nizu
MI|2023-11-27|2,MI,2023-11-27,2,6,Hash tablice
MI|2023-11-27|3,MI,2023-11-27,3,2,Linearne liste
MI|2023-11-27|4,MI,2023-11-27,4,9,Pretraga u nizu
MI|2023-11-27|5,MI,2023-11-27,5,5,Red i stog
MI|2024-11-29|1,MI,2024-11-29,1,6,Hash tablice
MI|2024-11-29|2,MI,2024-11-29,2,2,Linearne liste
MI|2024-11-29|3,MI,2024-11-29,3,3,Rekurzija
MI|2024-11-29|4,MI,2024-11-29,4,5,Red i stog
MI|2025-11-28|1,MI,2025-11-28,1,6,Hash tablice
MI|2025-11-28|2,MI,2025-11-28,2,2,Linearne liste
MI|2025-11-28|3,MI,2025-11-28,3,5,Red i stog
MI|2025-11-28|4,MI,2025-11-28,4,4,Uzlazno sortiranje
ZI|2008-07-03|1,ZI,2008-07-03,1,3,Rekurzija
ZI|2008-07-03|2,ZI,2008-07-03,2,2,Linearne liste
ZI|2008-07-03|3,ZI,2008-07-03,3,10,Gomile
ZI|2008-07-03|4,ZI,2008-07-03,4,5,Red i stog
ZI|2009-06-23|1,ZI,2009-06-23,1,2,Linearne liste
ZI|2009-06-23|2,ZI,2009-06-23,2,3,Rekurzija
ZI|2009-06-23|3,ZI,2009-06-23,3,10,Gomile
ZI|2009-06-23|4,ZI,2009-06-23,4,5,Red i stog
ZI|2010-07-02|1,ZI,2010-07-02,1,2,Linearne liste
ZI|2010-07-02|2,ZI,2010-07-02,2,7,Grafovi
ZI|2010-07-02|3,ZI,2010-07-02,3,10,Gomile
ZI|2010-07-02|4,ZI,2010-07-02,4,12,Složenost algoritama
ZI|2010-07-02|5,ZI,2010-07-02,5,3,Rekurzija
ZI|2010-07-02|6,ZI,2010-07-02,6,10,Gomile
ZI|2011-06-13|1,ZI,2011-06-13,1,2,Linearne liste
ZI|2011-06-13|2,ZI,2011-06-13,2,3,Rekurzija
ZI|2011-06-13|3,ZI,2011-06-13,3,10,Gomile
ZI|2011-06-13|4,ZI,2011-06-13,4,3,Rekurzija
ZI|2011-06-13|5,ZI,2011-06-13,5,12,Složenost algoritama
ZI|2011-06-13|6,ZI,2011-06-13,6,7,Grafovi
ZI|2012-06-20|1,ZI,2012-06-20,1,8,Dinamička alokacija
ZI|2012-06-20|2,ZI,2012-06-20,2,7,Grafovi
ZI|2012-06-20|3,ZI,2012-06-20,3,10,Gomile
ZI|2012-06-20|4,ZI,2012-06-20,4,8,Dinamička alokacija
ZI|2013-06-18|1,ZI,2013-06-18,1,8,Dinamička alokacija
ZI|2013-06-18|2,ZI,2013-06-18,2,2,Linearne liste
ZI|2013-06-18|3,ZI,2013-06-18,3,10,Gomile
ZI|2013-06-18|4,ZI,2013-06-18,4,7,Grafovi
ZI|2013-06-18|5,ZI,2013-06-18,5,8,Dinamička alokacija
ZI|2014-06-17|1,ZI,2014-06-17,1,2,Linearne liste
ZI|2014-06-17|2,ZI,2014-06-17,2,8,Dinamička alokacija
ZI|2014-06-17|3,ZI,2014-06-17,3,7,Grafovi
ZI|2014-06-17|4,ZI,2014-06-17,4,7,Grafovi
ZI|2014-06-17|5,ZI,2014-06-17,5,10,Gomile
ZI|2015-06-16|1,ZI,2015-06-16,1,8,Dinamička alokacija
ZI|2015-06-16|2,ZI,2015-06-16,2,6,Hash tablice
ZI|2015-06-16|3,ZI,2015-06-16,3,2,Linearne liste
ZI|2015-06-16|4,ZI,2015-06-16,4,3,Rekurzija
ZI|2015-06-16|5,ZI,2015-06-16,5,10,Gomile
ZI|2016-06-21|1,ZI,2016-06-21,1,12,Složenost algoritama
ZI|2016-06-21|2,ZI,2016-06-21,2,3,Rekurzija
ZI|2016-06-21|3,ZI,2016-06-21,3,10,Gomile
ZI|2016-06-21|4,ZI,2016-06-21,4,1,Binarno stablo
ZI|2016-06-21|5,ZI,2016-06-21,5,8,Dinamička alokacija
ZI|2017-06-13|1,ZI,2017-06-13,1,7,Grafovi
ZI|2017-06-13|2,ZI,2017-06-13,2,10,Gomile
ZI|2017-06-13|3,ZI,2017-06-13,3,1,Binarno stablo
ZI|2017-06-13|4,ZI,2017-06-13,4,8,Dinamička alokacija
ZI|2020-01-31|1,ZI,2020-01-31,1,7,Grafovi
ZI|2020-01-31|2,ZI,2020-01-31,2,11,Usmereni graf
ZI|2020-01-31|3,ZI,2020-01-31,3,10,Gomile
ZI|2020-01-31|4,ZI,2020-01-31,4,1,Binarno stablo
ZI|2020-01-31|5,ZI,2020-01-31,5,4,Uzlazno sortiranje
ZI|2020-01-31|6,ZI,2020-01-31,6,5,Red i stog
ZI|2021-01-29|1,ZI,2021-01-29,1,7,Grafovi
ZI|2021-01-29|2,ZI,2021-01-29,2,11,Usmereni graf
ZI|2021-01-29|3,ZI,2021-01-29,3,4,Uzlazno sortiranje
ZI|2021-01-29|4,ZI,2021-01-29,4,1,Binarno stablo
ZI|2021-01-29|5,ZI,2021-01-29,5,5,Red i stog
ZI|2022-01-28|1,ZI,2022-01-28,1,7,Grafovi
ZI|2022-01-28|2,ZI,2022-01-28,2,4,Uzlazno sortiranje
ZI|2022-01-28|3,ZI,2022-01-28,3,10,Gomile
ZI|2022-01-28|4,ZI,2022-01-28,4,11,Usmereni graf
ZI|2022-01-28|5,ZI,2022-01-28,5,4,Uzlazno sortiranje
ZI|2022-01-28|6,ZI,2022-01-28,6,1,Binarno stablo
ZI|2023-01-27|1,ZI,2023-01-27,1,7,Grafovi
ZI|2023-01-27|2,ZI,2023-01-27,2,11,Usmereni graf
ZI|2023-01-27|3,ZI,2023-01-27,3,4,Uzlazno sortiranje
ZI|2023-01-27|4,ZI,2023-01-27,4,1,Binarno stablo
ZI|2023-01-27|5,ZI,2023-01-27,5,5,Red i stog
ZI|2023-02-02|1,ZI,2023-02-02,1,7,Grafovi
ZI|2023-02-02|2,ZI,2023-02-02,2,11,Usmereni graf
ZI|2023-02-02|3,ZI,2023-02-02,3,10,Gomile
ZI|2023-02-02|4,ZI,2023-02-02,4,1,Binarno stablo
ZI|2023-02-02|5,ZI,2023-02-02,5,5,Red i stog
ZI|2025-02-07|1,ZI,2025-02-07,1,7,Grafovi
ZI|2025-02-07|2,ZI,2025-02-07,2,11,Usmereni graf
ZI|2025-02-07|3,ZI,2025-02-07,3,10,Gomile
ZI|2025-02-07|4,ZI,2025-02-07,4,1,Binarno stablo
ZI|2025-02-07|5,ZI,2025-02-07,5,5,Red i stog
ZI|2026-02-06|1,ZI,2026-02-06,1,7,Grafovi
ZI|2026-02-06|2,ZI,2026-02-06,2,11,Usmereni graf
ZI|2026-02-06|3,ZI,2026-02-06,3,10,Gomile
ZI|2026-02-06|4,ZI,2026-02-06,4,1,Binarno stablo
ZI|2026-02-06|5,ZI,2026-02-06,5,5,Red i stog
