task_id,exam_type,exam_date,task_no,cluster_id,cluster_label
ZI|2011-06-13|5,ZI,2011-06-13,5,9,Graf
ZI|2011-06-13|6,ZI,2011-06-13,6,5,Hash tablica
ZI|2012-06-20|1,ZI,2012-06-20,1,0,Sortiranje
ZI|2012-06-20|2,ZI,2012-06-20,2,5,Hash tablica
ZI|2012-06-20|3,ZI,2012-06-20,3,14,Gomila
ZI|2012-06-20|4,ZI,2012-06-20,4,0,Sortiranje
ZI|2013-06-18|1,ZI,2013-06-18,1,10,Dinamička alokacija
ZI|2013-06-18|2,ZI,2013-06-18,2,7,Povezana lista
ZI|2013-06-18|3,ZI,2013-06-18,3,14,Gomila
ZI|2013-06-18|4,ZI,2013-06-18,4,5,Hash tablica
ZI|2013-06-18|5,ZI,2013-06-18,5,0,Sortiranje
ZI|2014-06-17|1,ZI,2014-06-17,1,7,Povezana lista
ZI|2014-06-17|2,ZI,2014-06-17,2,10,Dinamička alokacija
ZI|2014-06-17|3,ZI,2014-06-17,3,5,Hash tablica
ZI|2014-06-17|4,ZI,2014-06-17,4,5,Hash tablica
ZI|2014-06-17|5,ZI,2014-06-17,5,14,Gomila
ZI|2015-06-16|1,ZI,2015-06-16,1,0,Sortiranje
ZI|2015-06-16|2,ZI,2015-06-16,2,9,Graf
ZI|2015-06-16|3,ZI,2015-06-16,3,7,Povezana lista
ZI|2015-06-16|4,ZI,2015-06-16,4,5,Hash tablica
ZI|2015-06-16|5,ZI,2015-06-16,5,3,Rekurzija
ZI|2016-06-21|1,ZI,2016-06-21,1,2,Stog operacije
ZI|2016-06-21|2,ZI,2016-06-21,2,5,Hash tablica
ZI|2016-06-21|3,ZI,2016-06-21,3,3,Rekurzija
ZI|2016-06-21|4,ZI,2016-06-21,4,13,KMP
ZI|2016-06-21|5,ZI,2016-06-21,5,0,Sortiranje
ZI|2017-06-13|1,ZI,2017-06-13,1,5,Hash tablica
ZI|2017-06-13|2,ZI,2017-06-13,2,14,Gomila
ZI|2017-06-13|3,ZI,2017-06-13,3,13,KMP
ZI|2017-06-13|4,ZI,2017-06-13,4,10,Dinamička alokacija
ZI|2020-01-31|1,ZI,2020-01-31,1,1,Binarno stablo
ZI|2020-01-31|2,ZI,2020-01-31,2,2,Stog operacije
ZI|2020-01-31|3,ZI,2020-01-31,3,14,Gomila
ZI|2020-01-31|4,ZI,2020-01-31,4,12,Raspršeno adresiranje
ZI|2020-01-31|5,ZI,2020-01-31,5,4,Uzlazno sortiranje
ZI|2020-01-31|6,ZI,2020-01-31,6,11,Pretraga
ZI|2021-01-29|1,ZI,2021-01-29,1,1,Binarno stablo
ZI|2021-01-29|2,ZI,2021-01-29,2,2,Stog operacije
ZI|2021-01-29|3,ZI,2021-01-29,3,2,Stog operacije
ZI|2021-01-29|4,ZI,2021-01-29,4,12,Raspršeno adresiranje
ZI|2021-01-29|5,ZI,2021-01-29,5,4,Uzlazno sortiranje
ZI|2022-01-28|1,ZI,2022-01-28,1,1,Binarno stablo
ZI|2022-01-28|2,ZI,2022-01-28,2,4,Uzlazno sortiranje
ZI|2022-01-28|3,ZI,2022-01-28,3,14,Gomila
ZI|2022-01-28|4,ZI,2022-01-28,4,8,Red
ZI|2022-01-28|5,ZI,2022-01-28,5,2,Stog operacije
ZI|2022-01-28|6,ZI,2022-01-28,6,12,Raspršeno adresiranje
ZI|2023-01-27|1,ZI,2023-01-27,1,1,Binarno stablo
ZI|2023-01-27|2,ZI,2023-01-27,2,2,Stog operacije
ZI|2023-01-27|3,ZI,2023-01-27,3,4,Uzlazno sortiranje
ZI|2023-01-27|4,ZI,2023-01-27,4,12,Raspršeno adresiranje
ZI|2023-01-27|5,ZI,2023-01-27,5,11,Pretraga
ZI|2023-02-02|1,ZI,2023-02-02,1,1,Binarno stablo
ZI|2023-02-02|2,ZI,2023-02-02,2,2,Stog operacije
ZI|2023-02-02|3,ZI,2023-02-02,3,14,Gomila
ZI|2023-02-02|4,ZI,2023-02-02,4,12,Raspršeno adresiranje
ZI|2023-02-02|5,ZI,2023-02-02,5,2,Stog operacije
ZI|2025-02-07|1,ZI,2025-02-07,1,1,Binarno stablo
ZI|2025-02-07|2,ZI,2025-02-07,2,2,Stog operacije
ZI|2025-02-07|3,ZI,2025-02-07,3,14,Gomila
ZI|2025-02-07|4,ZI,2025-02-07,4,12,Raspršeno adresiranje
ZI|2025-02-07|5,ZI,2025-02-07,5,2,Stog operacije
ZI|2026-02-06|1,ZI,2026-02-06,1,1,Binarno stablo
ZI|2026-02-06|2,ZI,2026-02-06,2,2,Stog operacije
ZI|2026-02-06|3,ZI,2026-02-06,3,4,Uzlazno sortiranje
ZI|2026-02-06|4,ZI,2026-02-06,4,12,Raspršeno adresiranje
ZI|2026-02-06|5,ZI,2026-02-06,5,2,Stog operacije
