task_id,exam_type,exam_date,task_no,cluster_id,cluster_label
MI|2014-04-23|1,MI,2014-04-23,1,6,Hash tablica
MI|2014-04-23|2,MI,2014-04-23,2,8,Rekurzija
MI|2014-04-23|3,MI,2014-04-23,3,8,Rekurzija
MI|2014-04-23|4,MI,2014-04-23,4,6,Hash tablica
MI|2014-04-23|5,MI,2014-04-23,5,0,Sortiranje
MI|2015-04-21|1,MI,2015-04-21,1,6,Hash tablica
MI|2015-04-21|2,MI,2015-04-21,2,3,Vezana lista
MI|2015-04-21|3,MI,2015-04-21,3,8,Rekurzija
MI|2015-04-21|4,MI,2015-04-21,4,8,Rekurzija
MI|2015-04-21|5,MI,2015-04-21,5,0,Sortiranje
MI|2016-04-26|1,MI,2016-04-26,1,8,Rekurzija
MI|2016-04-26|2,MI,2016-04-26,2,9,Složenost algoritama
MI|2016-04-26|3,MI,2016-04-26,3,1,Stog
MI|2016-04-26|4,MI,2016-04-26,4,0,Sortiranje
MI|2016-04-26|5,MI,2016-04-26,5,3,Vezana lista
MI|2017-04-19|1,MI,2017-04-19,1,8,Rekurzija
MI|2017-04-19|2,MI,2017-04-19,2,9,Složenost algoritama
MI|2017-04-19|3,MI,2017-04-19,3,0,Sortiranje
MI|2017-04-19|4,MI,2017-04-19,4,3,Vezana lista
MI|2019-11-25|1,MI,2019-11-25,1,8,Rekurzija
MI|2019-11-25|2,MI,2019-11-25,2,9,Složenost algoritama
MI|2019-11-25|3,MI,2019-11-25,3,3,Vezana lista
MI|2019-11-25|4,MI,2019-11-25,4,2,Red
MI|2019-11-25|5,MI,2019-11-25,5,3,Vezana lista
MI|2020-11-24|1,MI,2020-11-24,1,8,Rekurzija
MI|2020-11-24|2,MI,2020-11-24,2,0,Sortiranje
MI|2020-11-24|3,MI,2020-11-24,3,3,Vezana lista
MI|2020-11-24|4,MI,2020-11-24,4,9,Složenost algoritama
MI|2020-11-24|5,MI,2020-11-24,5,3,Vezana lista
MI|2021-11-28|1,MI,2021-11-28,1,8,Rekurzija
MI|2021-11-28|2,MI,2021-11-28,2,9,Složenost algoritama
MI|2021-11-28|3,MI,2021-11-28,3,3,Vezana lista
MI|2021-11-28|4,MI,2021-11-28,4,2,Red
MI|2021-11-29|1,MI,2021-11-29,1,2,Red
MI|2021-11-29|2,MI,2021-11-29,2,8,Rekurzija
MI|2021-11-29|3,MI,2021-11-29,3,9,Složenost algoritama
MI|2021-11-29|4,MI,2021-11-29,4,8,Rekurzija
MI|2021-11-29|5,MI,2021-11-29,5,3,Vezana lista
MI|2023-11-27|1,MI,2023-11-27,1,8,Rekurzija
MI|2023-11-27|2,MI,2023-11-27,2,9,Složenost algoritama
MI|2023-11-27|3,MI,2023-11-27,3,3,Vezana lista
MI|2023-11-27|4,MI,2023-11-27,4,0,Sortiranje
MI|2023-11-27|5,MI,2023-11-27,5,0,Sortiranje
MI|2024-11-29|1,MI,2024-11-29,1,0,Sortiranje
MI|2024-11-29|2,MI,2024-11-29,2,3,Vezana lista
MI|2024-11-29|3,MI,2024-11-29,3,1,Stog
MI|2024-11-29|4,MI,2024-11-29,4,0,Sortiranje
MI|2025-11-28|1,MI,2025-11-28,1,9,Složenost algoritama
MI|2025-11-28|2,MI,2025-11-28,2,3,Vezana lista
MI|2025-11-28|3,MI,2025-11-28,3,2,Red
MI|2025-11-28|4,MI,2025-11-28,4,0,Sortiranje
ZI|2008-07-03|1,ZI,2008-07-03,1,4,Binarno stablo
ZI|2008-07-03|2,ZI,2008-07-03,2,3,Vezana lista
ZI|2008-07-03|3,ZI,2008-07-03,3,5,Gomila
ZI|2008-07-03|4,ZI,2008-07-03,4,2,Red
ZI|2009-06-23|1,ZI,2009-06-23,1,3,Vezana lista
ZI|2009-06-23|2,ZI,2009-06-23,2,4,Binarno stablo
ZI|2009-06-23|3,ZI,2009-06-23,3,5,Gomila
ZI|2009-06-23|4,ZI,2009-06-23,4,3,Vezana lista
ZI|2010-07-02|1,ZI,2010-07-02,1,3,Vezana lista
ZI|2010-07-02|2,ZI,2010-07-02,2,4,Binarno stablo
ZI|2010-07-02|3,ZI,2010-07-02,3,5,Gomila
ZI|2010-07-02|4,ZI,2010-07-02,4,3,Vezana lista
ZI|2010-07-02|5,ZI,2010-07-02,5,4,Binarno stablo
ZI|2010-07-02|6,ZI,2010-07-02,6,5,Gomila
ZI|2011-06-13|1,ZI,2011-06-13,1,3,Vezana lista
ZI|2011-06-13|2,ZI,2011-06-13,2,4,Binarno stablo
ZI|2011-06-13|3,ZI,2011-06-13,3,5,Gomila
ZI|2011-06-13|4,ZI,2011-06-13,4,4,Binarno stablo
ZI|2011-06-13|5,ZI,2011-06-13,5,3,Vezana lista
ZI|2011-06-13|6,ZI,2011-06-13,6,3,Vezana lista
ZI|2012-06-20|1,ZI,2012-06-20,1,3,Vezana lista
ZI|2012-06-20|2,ZI,2012-06-20,2,4,Binarno stablo
ZI|2012-06-20|3,ZI,2012-06-20,3,5,Gomila
ZI|2012-06-20|4,ZI,2012-06-20,4,3,Vezana lista
ZI|2013-06-18|1,ZI,2013-06-18,1,2,Red
ZI|2013-06-18|2,ZI,2013-06-18,2,3,Vezana lista
ZI|2013-06-18|3,ZI,2013-06-18,3,5,Gomila
ZI|2013-06-18|4,ZI,2013-06-18,4,4,Binarno stablo
ZI|2013-06-18|5,ZI,2013-06-18,5,3,Vezana lista
ZI|2014-06-17|1,ZI,2014-06-17,1,3,Vezana lista
ZI|2014-06-17|2,ZI,2014-06-17,2,1,Stog
ZI|2014-06-17|3,ZI,2014-06-17,3,4,Binarno stablo
ZI|2014-06-17|4,ZI,2014-06-17,4,4,Binarno stablo
ZI|2014-06-17|5,ZI,2014-06-17,5,5,Gomila
ZI|2015-06-16|1,ZI,2015-06-16,1,3,Vezana lista
ZI|2015-06-16|2,ZI,2015-06-16,2,9,Složenost algoritama
ZI|2015-06-16|3,ZI,2015-06-16,3,3,Vezana lista
ZI|2015-06-16|4,ZI,2015-06-16,4,4,Binarno stablo
ZI|2015-06-16|5,ZI,2015-06-16,5,5,Gomila
ZI|2016-06-21|1,ZI,2016-06-21,1,7,Graf
ZI|2016-06-21|2,ZI,2016-06-21,2,4,Binarno stablo
ZI|2016-06-21|3,ZI,2016-06-21,3,5,Gomila
ZI|2016-06-21|4,ZI,2016-06-21,4,6,Hash tablica
ZI|2016-06-21|5,ZI,2016-06-21,5,1,Stog
ZI|2017-06-13|1,ZI,2017-06-13,1,4,Binarno stablo
ZI|2017-06-13|2,ZI,2017-06-13,2,5,Gomila
ZI|2017-06-13|3,ZI,2017-06-13,3,6,Hash tablica
ZI|2017-06-13|4,ZI,2017-06-13,4,2,Red
ZI|2020-01-31|1,ZI,2020-01-31,1,4,Binarno stablo
ZI|2020-01-31|2,ZI,2020-01-31,2,7,Graf
ZI|2020-01-31|3,ZI,2020-01-31,3,5,Gomila
ZI|2020-01-31|4,ZI,2020-01-31,4,6,Hash tablica
ZI|2020-01-31|5,ZI,2020-01-31,5,0,Sortiranje
ZI|2020-01-31|6,ZI,2020-01-31,6,6,Hash tablica
ZI|2021-01-29|1,ZI,2021-01-29,1,4,Binarno stablo
ZI|2021-01-29|2,ZI,2021-01-29,2,7,Graf
ZI|2021-01-29|3,ZI,2021-01-29,3,10,KMP
ZI|2021-01-29|4,ZI,2021-01-29,4,6,Hash tablica
ZI|2021-01-29|5,ZI,2021-01-29,5,0,Sortiranje
ZI|2022-01-28|1,ZI,2022-01-28,1,4,Binarno stablo
ZI|2022-01-28|2,ZI,2022-01-28,2,0,Sortiranje
ZI|2022-01-28|3,ZI,2022-01-28,3,5,Gomila
ZI|2022-01-28|4,ZI,2022-01-28,4,8,Rekurzija
ZI|2022-01-28|5,ZI,2022-01-28,5,10,KMP
ZI|2022-01-28|6,ZI,2022-01-28,6,6,Hash tablica
ZI|2023-01-27|1,ZI,2023-01-27,1,4,Binarno stablo
ZI|2023-01-27|2,ZI,2023-01-27,2,7,Graf
ZI|2023-01-27|3,ZI,2023-01-27,3,0,Sortiranje
ZI|2023-01-27|4,ZI,2023-01-27,4,6,Hash tablica
ZI|2023-01-27|5,ZI,2023-01-27,5,3,Vezana lista
ZI|2023-02-02|1,ZI,2023-02-02,1,4,Binarno stablo
ZI|2023-02-02|2,ZI,2023-02-02,2,7,Graf
ZI|2023-02-02|3,ZI,2023-02-02,3,5,Gomila
ZI|2023-02-02|4,ZI,2023-02-02,4,6,Hash tablica
ZI|2023-02-02|5,ZI,2023-02-02,5,10,KMP
ZI|2025-02-07|1,ZI,2025-02-07,1,4,Binarno stablo
ZI|2025-02-07|2,ZI,2025-02-07,2,7,Graf
ZI|2025-02-07|3,ZI,2025-02-07,3,5,Gomila
ZI|2025-02-07|4,ZI,2025-02-07,4,6,Hash tablica
ZI|2025-02-07|5,ZI,2025-02-07,5,3,Vezana lista
ZI|2026-02-06|1,ZI,2026-02-06,1,4,Binarno stablo
ZI|2026-02-06|2,ZI,2026-02-06,2,7,Graf
ZI|2026-02-06|3,ZI,2026-02-06,3,5,Gomila
ZI|2026-02-06|4,ZI,2026-02-06,4,6,Hash tablica
ZI|2026-02-06|5,ZI,2026-02-06,5,0,Sortiranje
